KOI Name,NExScI Disposition,Kepler Name,Period,Time of Transit Epoch,First Transit Time (BJD),Impact Parameter,Duration,Transit Depth,r/R,Fitted Stellar Density,Planet Radius,Semi-major Axis,Inclination,Teq,Insolation Flux,a/R,Limb Darkening Coeff1,Limb Darkening Coeff2,Limb Darkening Coeff3,Limb Darkening Coeff4,Teff,log(g),Metallicity,Stellar Radius,Stellar Mass,Max single event sigma,Max Multievent sigma,Transit Model SNR,KOI count,Transit Number
K00889.01,CONFIRMED,Kepler-75 b,8.884922995,169.99168600000002,2455002.992,0.069,2.07004,16053.4,0.114,11.620610000000001,10.51,0.079,89.89,770.0,83.20999999999998,36.466,0.49700000000000005,0.204,0.0,0.0,5332.0,4.5,-0.08,0.843,0.821,61.291000000000004,474.02099999999996,388.2,1,153
K01009.01,FALSE POSITIVE,,5.09246539,357.53594,2455190.536,0.161,3.659,254.0,0.013999999999999999,0.8851,1.17,0.052000000000000005,89.14,844.0,119.7,10.67,0.551,0.165,0.0,0.0,5037.0,4.547,-0.2,0.7509999999999999,0.727,3.648,15.175,17.1,1,225
K07621.01,FALSE POSITIVE,,275.07365,315.2486,2455148.249,0.595,3.37,228.9,0.013999999999999999,33.559940000000005,1.86,0.789,89.93,303.0,2.0,512.0,0.43700000000000006,0.243,0.0,0.0,5604.0,4.226,-0.12,1.187,0.8640000000000001,5.909,8.012,7.5,1,4
K06252.01,FALSE POSITIVE,,8.460438928,133.7744903,2454966.774,1.061,4.73492,76412.9,0.478,0.73874,36.62,0.075,85.68,804.0,98.6,14.087,0.299,0.306,0.0,0.0,5951.0,4.638,-1.06,0.7020000000000001,0.7959999999999999,452.526,3704.5029999999997,1797.4,1,164
K00958.01,CANDIDATE,,21.76129812,166.540438,2454999.54,0.12300000000000001,1.2429999999999999,1300.7,0.032,102.86534,2.53,0.14,89.95,486.0,13.18,137.07,0.627,0.10800000000000001,0.0,0.0,4859.0,4.612,0.0,0.72,0.7809999999999999,19.204,96.205,60.0,1,62
K00984.01,CANDIDATE,,4.28746668,262.06245,2455095.062,0.374,1.5693,790.1,0.026000000000000002,8.16471,2.29,0.05,88.93,942.0,186.31,19.94,0.517,0.191,0.0,0.0,5296.0,4.5760000000000005,0.12,0.815,0.9109999999999999,19.84,116.715,19.4,1,313
K04162.01,FALSE POSITIVE,,0.53936593,131.97457,2454964.975,0.988,5.434,145.0,0.016,0.06737,9.19,0.017,12.57,5016.0,149399.93,1.012,0.314,0.304,0.0,0.0,6341.0,3.301,-0.1,5.3020000000000005,2.05,4.8469999999999995,9.076,57.6,1,1239
K07622.01,FALSE POSITIVE,,36.2671673,155.0813,2454988.081,0.214,2.065,627.1,0.022000000000000002,34.69388,1.5,0.182,89.91,347.0,3.44,134.1,0.644,0.10099999999999999,0.0,0.0,4264.0,4.637,-0.2,0.62,0.607,3.016,7.472,10.0,1,39
K00994.01,CANDIDATE,,4.298920099999999,132.86186999999998,2454965.8619999997,0.972,2.747,237.6,0.02,0.05666,2.12,0.049,75.22,1046.0,283.62,3.81,0.526,0.18600000000000003,0.0,0.0,5300.0,4.385,0.18,0.986,0.861,3.986,15.994000000000002,20.0,1,314
K00998.01,FALSE POSITIVE,,161.78832712,214.03900000000002,2455047.039,0.267,5.31,87750.0,0.273,17.58377,36.14,0.607,89.95,375.0,4.68,289.8,0.373,0.28300000000000003,0.0,0.0,6018.0,4.327,0.18,1.212,1.1420000000000001,341.666,806.993,704.5,1,9
K00992.01,CONFIRMED,Kepler-745 b,9.93146307,136.49128000000002,2454969.491,0.037000000000000005,5.678,398.6,0.018000000000000002,0.48317,2.41,0.091,89.84,931.0,177.83,13.607000000000001,0.419,0.256,0.0,0.0,5782.0,4.28,0.16,1.22,1.035,4.53,22.901,26.2,2,137
K00992.02,CANDIDATE,,4.57834367,132.2982,2454965.298,0.23199999999999998,3.987,140.7,0.011000000000000001,0.5846899999999999,1.44,0.055,88.47,1206.0,499.41,8.652999999999999,0.419,0.256,0.0,0.0,5782.0,4.28,0.16,1.22,1.035,2.983,8.891,11.4,2,275
K00982.01,FALSE POSITIVE,,1.5926331809999998,133.9243804,2454966.924,0.003,5.5605,633.1,0.022000000000000002,0.09265,1.56,0.023,89.93,1053.0,290.51,2.316,0.6659999999999999,0.077,0.0,0.0,4506.0,4.626,-0.2,0.6509999999999999,0.654,4.184,25.793000000000003,66.9,1,846
K03924.01,FALSE POSITIVE,,1.5926341609999999,132.328769,2454965.329,0.877,8.9488,155156.0,0.519,0.06389,100.2,0.028999999999999998,64.63,2255.0,6128.09,2.046,0.293,0.31,0.0,0.0,6574.0,4.061,-0.22,1.768,1.317,532.246,3630.369,1207.6,1,389
K07623.01,FALSE POSITIVE,,2.2227289,131.895,2454964.895,0.254,2.617,279.1,0.015,1.00737,34.14,0.051,87.73,4454.0,93172.12,6.41,0.547,0.17800000000000002,0.0,0.0,4996.0,2.354,0.07,20.848000000000003,3.5839999999999996,4.73,13.497,10.5,1,208
K00362.01,FALSE POSITIVE,,14.022451457,177.5952096,2455010.595,0.18899999999999997,8.08619,20082.9,0.13,0.31051999999999996,14.93,0.114,89.27,810.0,101.92,14.777999999999999,0.35100000000000003,0.289,0.0,0.0,6061.0,4.401,-0.14,1.05,1.012,344.358,2487.494,2707.7,1,100
K04924.01,FALSE POSITIVE,,3.0031801,132.1161,2454965.116,0.98,2.8139999999999996,374.7,0.024,0.038439999999999995,4.7,0.045,68.19,1827.0,2630.88,2.64,0.293,0.31,0.0,0.0,6606.0,4.071000000000001,-0.16,1.768,1.349,4.5360000000000005,12.362,13.9,1,58
K03658.01,FALSE POSITIVE,,2.252417903,132.436339,2454965.4359999998,1.198,1.9767,32296.0,0.456,1.46,27.09,0.027000000000000003,80.57,782.0,88.43000000000002,7.32,0.424,0.289,0.0,0.0,3979.0,4.699,-0.26,0.544,0.539,68.88,898.2410000000001,129.5,1,1007
K04359.01,CANDIDATE,,0.629001455,131.55662,2454964.557,0.365,1.263,14.7,0.004,2.25862,0.81,0.016,84.2,3375.0,30567.67,3.61,0.273,0.318,0.0,0.0,6739.0,3.948,-0.24,2.059,1.375,3.69,10.472000000000001,9.4,1,2127
K03145.01,CANDIDATE,,4.53702121,132.1846,2454965.185,0.706,1.8130000000000002,504.4,0.022000000000000002,2.61043,1.66,0.049,87.14,798.0,95.61,14.16,0.619,0.114,0.0,0.0,4805.0,4.633,-0.06,0.688,0.769,3.656,13.821,15.7,2,286
K03145.02,CANDIDATE,,0.9773114890000001,131.70299,2454964.703,0.01,1.403,250.7,0.013999999999999999,3.17024,1.06,0.018000000000000002,89.9,1331.0,737.36,5.43,0.619,0.114,0.0,0.0,4805.0,4.633,-0.06,0.688,0.769,4.127,12.243,14.8,2,1266
K00993.01,CONFIRMED,Kepler-262 c,21.85362905,144.32031,2454977.32,0.6759999999999999,3.4389999999999996,355.6,0.018000000000000002,2.00195,1.75,0.151,88.95,618.0,34.57,37.0,0.39299999999999996,0.268,0.0,0.0,5830.0,4.54,-0.14,0.8759999999999999,0.97,4.4639999999999995,19.609,23.0,3,60
K00993.02,CONFIRMED,Kepler-262 b,13.0607936,137.63148,2454970.631,0.718,3.215,236.6,0.015,1.22851,1.45,0.107,88.16,734.0,68.66,22.29,0.39299999999999996,0.268,0.0,0.0,5830.0,4.54,-0.14,0.8759999999999999,0.97,4.243,16.737000000000002,19.4,3,101
K00993.03,FALSE POSITIVE,,86.723653,195.3511,2455028.351,0.662,4.852,241.0,0.015,2.9203799999999998,1.43,0.38,89.64,391.0,5.5,105.1,0.39299999999999996,0.268,0.0,0.0,5830.0,4.54,-0.14,0.8759999999999999,0.97,3.949,7.676,9.4,3,16
K04053.01,CANDIDATE,,1.41975831,132.92,2454965.92,0.644,1.429,60.9,0.008,1.9590400000000001,0.85,0.025,83.77,1700.0,1968.38,5.93,0.35100000000000003,0.289,0.0,0.0,5925.0,4.394,-0.14,1.035,0.968,3.571,14.809000000000001,8.1,1,950
