KOI Name,Set
K00889.01,Test
K01009.01,Train
K07621.01,Train
K06252.01,Train
K00958.01,Unlabeled
K00984.01,Unlabeled
K04162.01,Train
K07622.01,Test
K00994.01,Unlabeled
K00998.01,Train
K00992.01,Train
K00992.02,Unlabeled
K00982.01,Train
K03924.01,Train
K07623.01,Train
K00362.01,Train
K04924.01,Test
K03658.01,Train
K04359.01,Unlabeled
K03145.01,Unlabeled
K03145.02,Unlabeled
K00993.01,Train
K00993.02,Train
K00993.03,Train
K04053.01,Unlabeled
K04644.01,Unlabeled
K01008.01,Train
K07624.01,Unlabeled
K04224.01,Train
K04212.01,Train
K04212.02,Unlabeled
K01007.01,Train
K04925.01,Train
K02538.01,Unlabeled
K01002.01,Test
K04926.01,Unlabeled
K07625.01,Train
K04927.01,Train
K01001.01,Train
K01001.02,Train
K02351.01,Unlabeled
K04928.01,Train
K02634.01,Train
K07626.01,Train
K03351.01,Test
K02534.01,Test
K02534.02,Unlabeled
K00147.01,Train
K08084.01,Train
K03999.01,Train
K04929.01,Test
K06257.01,Train
K06258.01,Train
K02178.01,Test
K03585.01,Train
K06093.01,Test
K06093.02,Unlabeled
K01987.01,Test
K07627.01,Test
K02201.01,Train
K02403.01,Train
K02130.01,Unlabeled
K06094.01,Train
K06259.01,Unlabeled
K06259.02,Unlabeled
K06260.01,Train
K01029.01,Unlabeled
K00999.01,Train
K00999.02,Train
K04934.01,Test
K03735.01,Test
K01028.01,Train
K06261.01,Train
K03670.01,Train
K08085.01,Unlabeled
K07628.01,Unlabeled
K06263.01,Unlabeled
K00988.01,Train
K00988.02,Train
K07629.01,Train
K07630.01,Unlabeled
K04709.01,Unlabeled
K02033.01,Train
K04935.01,Train
K06264.01,Train
K04936.01,Train
K02610.01,Unlabeled
K02610.02,Unlabeled
K06265.01,Train
K00151.01,Unlabeled
K03549.01,Train
K02053.01,Train
K02053.02,Train
K07631.01,Test
K06266.01,Train
K01004.01,Train
K05982.01,Train
K01020.01,Test
K04937.01,Train
K04938.01,Unlabeled
K06267.01,Unlabeled
K02682.01,Train
K03712.01,Train
K03461.01,Train
K03461.02,Train
K03598.01,Test
K04939.01,Test
K06268.01,Train
K03920.01,Train
K02671.01,Test
K03745.01,Train
K06269.01,Train
K04909.01,Train
K06270.01,Train
K06271.01,Test
K00363.01,Test
K00440.01,Test
K00440.02,Train
K04941.01,Test
K03699.01,Test
K01003.01,Test
K01944.01,Unlabeled
K01944.02,Train
K06272.01,Test
K02280.01,Train
K00792.01,Train
K00603.01,Train
K03642.01,Train
K00166.01,Train
K01000.01,Test
K06273.01,Train
K03997.01,Train
K02812.01,Train
K02603.01,Unlabeled
